latitude,longitude,population,year
-5.0,38.75,71487.75,2015
-5.0,39.375,16501.828,2015
-4.5,38.125,3172.8442,2015
-4.5,38.75,229374.72,2015
-4.5,39.375,1190632.5,2015
-4.0,37.5,1952.697,2015
-4.0,38.125,48942.63,2015
-4.0,38.75,92238.74,2015
-4.0,39.375,1012938.6,2015
-3.5,37.5,105330.01,2015
-3.5,38.125,201744.12,2015
-3.5,38.75,6200.5835,2015
-3.5,39.375,227632.47,2015
-3.5,40.0,286667.75,2015
-3.0,36.25,7930.51,2015
-3.0,36.875,42701.24,2015
-3.0,37.5,149830.06,2015
-3.0,38.125,35403.156,2015
-3.0,38.75,995.5507,2015
-3.0,39.375,20254.51,2015
-3.0,40.0,84473.805,2015
-3.0,40.625,294.8467,2015
-2.5,35.625,9994.605,2015
-2.5,36.25,64932.633,2015
-2.5,36.875,86429.08,2015
-2.5,37.5,248328.11,2015
-2.5,38.125,53605.52,2015
-2.5,38.75,206.68858,2015
-2.5,39.375,3371.8389,2015
-2.5,40.0,100312.38,2015
-2.5,40.625,92098.6,2015
-2.5,41.25,188.20755,2015
-2.0,34.375,54.774708,2015
-2.0,35.0,33581.46,2015
-2.0,35.625,73646.9,2015
-2.0,36.25,105469.38,2015
-2.0,36.875,600092.7,2015
-2.0,37.5,436985.75,2015
-2.0,38.125,120033.695,2015
-2.0,38.75,10108.053,2015
-2.0,39.375,8407.5205,2015
-2.0,40.0,107488.125,2015
-2.0,40.625,8675.328,2015
-2.0,41.25,6512.8906,2015
-1.5,33.75,93447.164,2015
-1.5,34.375,596995.5,2015
-1.5,35.0,145198.67,2015
-1.5,35.625,176045.25,2015
-1.5,36.25,3635344.8,2015
-1.5,36.875,3032463.2,2015
-1.5,37.5,570357.44,2015
-1.5,38.125,110366.664,2015
-1.5,38.75,2484.0342,2015
-1.5,39.375,35031.168,2015
-1.5,40.0,41406.652,2015
-1.5,40.625,59557.98,2015
-1.5,41.25,819.1507,2015
-1.0,33.75,358666.6,2015
-1.0,34.375,2589511.8,2015
-1.0,35.0,1403549.5,2015
-1.0,35.625,410314.3,2015
-1.0,36.25,809863.5,2015
-1.0,36.875,1741455.4,2015
-1.0,37.5,371790.72,2015
-1.0,38.125,112662.266,2015
-1.0,38.75,8237.65,2015
-1.0,39.375,35160.766,2015
-1.0,40.0,5610.265,2015
-1.0,40.625,13387.033,2015
-0.5,33.75,406866.1,2015
-0.5,34.375,1497430.8,2015
-0.5,35.0,1112976.6,2015
-0.5,35.625,1318753.9,2015
-0.5,36.25,525346.44,2015
-0.5,36.875,781827.56,2015
-0.5,37.5,899988.9,2015
-0.5,38.125,69580.07,2015
-0.5,38.75,55228.906,2015
-0.5,39.375,249678.9,2015
-0.5,40.0,75682.8,2015
-0.5,40.625,5358.1147,2015
0.0,33.75,998965.4,2015
0.0,34.375,2648080.2,2015
0.0,35.0,1089055.6,2015
0.0,35.625,365737.9,2015
0.0,36.25,337536.8,2015
0.0,36.875,201491.97,2015
0.0,37.5,1205146.0,2015
0.0,38.125,32395.607,2015
0.0,38.75,88075.9,2015
0.0,39.375,50832.855,2015
0.0,40.0,260563.28,2015
0.0,40.625,27497.514,2015
0.5,33.75,277599.34,2015
0.5,34.375,2015728.6,2015
0.5,35.0,1295970.2,2015
0.5,35.625,204821.06,2015
0.5,36.25,97544.836,2015
0.5,36.875,60922.375,2015
0.5,37.5,32541.72,2015
0.5,38.125,22785.78,2015
0.5,38.75,69215.08,2015
0.5,39.375,53282.207,2015
0.5,40.0,23606.873,2015
0.5,40.625,28830.723,2015
1.0,34.375,394888.78,2015
1.0,35.0,715475.06,2015
1.0,35.625,109958.06,2015
1.0,36.25,101843.89,2015
1.0,36.875,26458.191,2015
1.0,37.5,12454.402,2015
1.0,38.125,13650.125,2015
1.0,38.75,11856.937,2015
1.0,39.375,94763.29,2015
1.0,40.0,30629.139,2015
1.0,40.625,13628.448,2015
1.5,34.375,15251.975,2015
1.5,35.0,168690.27,2015
1.5,35.625,44401.97,2015
1.5,36.25,55221.008,2015
1.5,36.875,30180.436,2015
1.5,37.5,18164.611,2015
1.5,38.125,1144.206,2015
1.5,38.75,10223.599,2015
1.5,39.375,79743.44,2015
1.5,40.0,219109.2,2015
1.5,40.625,18285.023,2015
2.0,34.375,39607.68,2015
2.0,35.0,122513.65,2015
2.0,35.625,54773.92,2015
2.0,36.25,31824.936,2015
2.0,36.875,17376.11,2015
2.0,37.5,57689.52,2015
2.0,38.125,3996.3037,2015
2.0,38.75,37526.562,2015
2.0,39.375,101086.4,2015
2.0,40.0,99731.375,2015
2.0,40.625,50394.883,2015
2.5,34.375,26254.574,2015
2.5,35.0,80229.375,2015
2.5,35.625,53673.96,2015
2.5,36.25,21411.064,2015
2.5,36.875,5804.5913,2015
2.5,37.5,8578.28,2015
2.5,38.125,3184.8362,2015
2.5,38.75,35927.086,2015
2.5,39.375,67268.28,2015
2.5,40.0,79527.6,2015
2.5,40.625,278086.4,2015
3.0,34.375,56338.5,2015
3.0,35.0,100890.125,2015
3.0,35.625,63108.188,2015
3.0,36.25,6277.7085,2015
3.0,36.875,17917.62,2015
3.0,37.5,5195.055,2015
3.0,38.125,8126.2783,2015
3.0,38.75,75890.85,2015
3.0,39.375,180283.58,2015
3.0,40.0,174127.31,2015
3.0,40.625,230588.4,2015
3.0,41.25,56567.242,2015
3.5,33.75,3993.1572,2015
3.5,34.375,128166.7,2015
3.5,35.0,33292.004,2015
3.5,35.625,24257.387,2015
3.5,36.25,3858.8826,2015
3.5,36.875,13697.412,2015
3.5,37.5,5602.795,2015
3.5,38.125,18145.297,2015
3.5,38.75,44531.582,2015
3.5,39.375,71735.83,2015
3.5,40.0,215751.58,2015
3.5,40.625,196225.55,2015
3.5,41.25,295122.9,2015
4.0,33.75,42094.76,2015
4.0,34.375,44315.637,2015
4.0,35.0,36714.53,2015
4.0,35.625,46221.086,2015
4.0,36.25,7633.049,2015
4.0,36.875,6483.981,2015
4.0,37.5,89.61633,2015
4.0,40.0,50736.434,2015
4.0,40.625,37425.242,2015
4.5,33.75,1166.1445,2015
4.5,34.375,19758.195,2015
4.5,35.0,28906.69,2015
4.5,35.625,16838.428,2015
5.0,34.375,956.50476,2015
5.0,35.0,7849.3774,2015
5.0,35.625,3779.5305,2015
-5.0,38.75,74151.37,2016
-5.0,39.375,18971.535,2016
-4.5,38.125,2785.09,2016
-4.5,38.75,232847.92,2016
-4.5,39.375,1222490.2,2016
-4.0,37.5,3384.5479,2016
-4.0,38.125,49641.637,2016
-4.0,38.75,95802.36,2016
-4.0,39.375,1048681.8,2016
-3.5,37.5,106304.51,2016
-3.5,38.125,208426.81,2016
-3.5,38.75,6188.332,2016
-3.5,39.375,232000.56,2016
-3.5,40.0,294893.03,2016
-3.0,36.25,9073.153,2016
-3.0,36.875,42483.52,2016
-3.0,37.5,157272.48,2016
-3.0,38.125,37858.918,2016
-3.0,38.75,950.9505,2016
-3.0,39.375,20905.291,2016
-3.0,40.0,86621.83,2016
-3.0,40.625,364.68243,2016
-2.5,35.625,10197.466,2016
-2.5,36.25,67859.14,2016
-2.5,36.875,88067.68,2016
-2.5,37.5,252487.66,2016
-2.5,38.125,54847.95,2016
-2.5,38.75,329.23978,2016
-2.5,39.375,4602.9854,2016
-2.5,40.0,102884.38,2016
-2.5,40.625,94869.516,2016
-2.5,41.25,164.2543,2016
-2.0,34.375,48.27903,2016
-2.0,35.0,35870.94,2016
-2.0,35.625,75776.28,2016
-2.0,36.25,105456.23,2016
-2.0,36.875,610008.8,2016
-2.0,37.5,446263.22,2016
-2.0,38.125,121746.07,2016
-2.0,38.75,10268.418,2016
-2.0,39.375,9048.855,2016
-2.0,40.0,115196.76,2016
-2.0,40.625,9300.401,2016
-2.0,41.25,6202.8223,2016
-1.5,33.75,94557.42,2016
-1.5,34.375,613752.06,2016
-1.5,35.0,149111.16,2016
-1.5,35.625,181164.45,2016
-1.5,36.25,3758628.8,2016
-1.5,36.875,3130624.2,2016
-1.5,37.5,581220.8,2016
-1.5,38.125,112703.19,2016
-1.5,38.75,2210.006,2016
-1.5,39.375,36230.496,2016
-1.5,40.0,45200.08,2016
-1.5,40.625,64401.312,2016
-1.5,41.25,1117.533,2016
-1.0,33.75,369035.22,2016
-1.0,34.375,2648157.5,2016
-1.0,35.0,1453480.2,2016
-1.0,35.625,422181.66,2016
-1.0,36.25,829973.44,2016
-1.0,36.875,1770090.1,2016
-1.0,37.5,378596.34,2016
-1.0,38.125,114665.055,2016
-1.0,38.75,8578.839,2016
-1.0,39.375,34987.016,2016
-1.0,40.0,7958.7354,2016
-1.0,40.625,14819.268,2016
-0.5,33.75,417673.34,2016
-0.5,34.375,1524974.4,2016
-0.5,35.0,1154786.4,2016
-0.5,35.625,1365660.1,2016
-0.5,36.25,536279.2,2016
-0.5,36.875,793093.4,2016
-0.5,37.5,919259.75,2016
-0.5,38.125,72250.05,2016
-0.5,38.75,53588.062,2016
-0.5,39.375,274912.28,2016
-0.5,40.0,76781.555,2016
-0.5,40.625,6118.375,2016
0.0,33.75,1023048.56,2016
0.0,34.375,2717586.5,2016
0.0,35.0,1128140.0,2016
0.0,35.625,378760.53,2016
0.0,36.25,347817.9,2016
0.0,36.875,210709.6,2016
0.0,37.5,1233023.9,2016
0.0,38.125,32653.93,2016
0.0,38.75,99841.0,2016
0.0,39.375,53841.977,2016
0.0,40.0,288438.62,2016
0.0,40.625,32270.27,2016
0.5,33.75,287390.5,2016
0.5,34.375,2073819.2,2016
0.5,35.0,1334226.8,2016
0.5,35.625,213035.19,2016
0.5,36.25,100356.65,2016
0.5,36.875,63079.83,2016
0.5,37.5,29739.453,2016
0.5,38.125,24111.574,2016
0.5,38.75,75331.62,2016
0.5,39.375,60903.89,2016
0.5,40.0,25817.05,2016
0.5,40.625,28807.787,2016
1.0,34.375,406755.03,2016
1.0,35.0,744192.4,2016
1.0,35.625,117142.45,2016
1.0,36.25,104921.06,2016
1.0,36.875,27996.625,2016
1.0,37.5,12220.635,2016
1.0,38.125,13831.347,2016
1.0,38.75,12116.08,2016
1.0,39.375,100065.22,2016
1.0,40.0,31299.154,2016
1.0,40.625,17074.77,2016
1.5,34.375,18230.65,2016
1.5,35.0,175165.2,2016
1.5,35.625,48545.07,2016
1.5,36.25,57050.56,2016
1.5,36.875,30927.957,2016
1.5,37.5,18673.73,2016
1.5,38.125,1059.824,2016
1.5,38.75,12210.642,2016
1.5,39.375,87813.4,2016
1.5,40.0,236217.89,2016
1.5,40.625,23632.234,2016
2.0,34.375,42658.684,2016
2.0,35.0,123754.125,2016
2.0,35.625,61550.965,2016
2.0,36.25,31850.852,2016
2.0,36.875,18501.88,2016
2.0,37.5,57386.633,2016
2.0,38.125,4580.005,2016
2.0,38.75,40171.887,2016
2.0,39.375,113300.49,2016
2.0,40.0,108448.336,2016
2.0,40.625,54468.184,2016
2.5,34.375,26869.377,2016
2.5,35.0,82947.85,2016
2.5,35.625,56446.504,2016
2.5,36.25,19301.79,2016
2.5,36.875,5279.575,2016
2.5,37.5,8876.8545,2016
2.5,38.125,3283.341,2016
2.5,38.75,35591.14,2016
2.5,39.375,74260.31,2016
2.5,40.0,85523.51,2016
2.5,40.625,310467.47,2016
3.0,34.375,57136.61,2016
3.0,35.0,105609.46,2016
3.0,35.625,64389.65,2016
3.0,36.25,7400.511,2016
3.0,36.875,16871.309,2016
3.0,37.5,5199.8237,2016
3.0,38.125,8686.279,2016
3.0,38.75,80029.9,2016
3.0,39.375,198490.52,2016
3.0,40.0,191978.92,2016
3.0,40.625,247313.84,2016
3.0,41.25,61423.918,2016
3.5,33.75,3615.0378,2016
3.5,34.375,134305.61,2016
3.5,35.0,33860.945,2016
3.5,35.625,25714.963,2016
3.5,36.25,6340.029,2016
3.5,36.875,13731.057,2016
3.5,37.5,6935.7354,2016
3.5,38.125,19133.264,2016
3.5,38.75,47541.336,2016
3.5,39.375,80190.55,2016
3.5,40.0,225690.34,2016
3.5,40.625,218488.06,2016
3.5,41.25,325068.6,2016
4.0,33.75,43224.027,2016
4.0,34.375,45918.19,2016
4.0,35.0,33680.14,2016
4.0,35.625,46843.918,2016
4.0,36.25,7754.3716,2016
4.0,36.875,5819.8433,2016
4.0,37.5,71.67983,2016
4.0,40.0,53405.938,2016
4.0,40.625,44221.848,2016
4.5,33.75,1455.6254,2016
4.5,34.375,23887.191,2016
4.5,35.0,31019.11,2016
4.5,35.625,17398.041,2016
5.0,34.375,1015.58936,2016
5.0,35.0,9234.253,2016
5.0,35.625,3682.0034,2016
-5.0,38.75,76316.34,2017
-5.0,39.375,19389.43,2017
-4.5,38.125,2830.0552,2017
-4.5,38.75,240005.5,2017
-4.5,39.375,1257697.2,2017
-4.0,37.5,3640.2017,2017
-4.0,38.125,51473.74,2017
-4.0,38.75,98739.81,2017
-4.0,39.375,1079898.8,2017
-3.5,37.5,109233.016,2017
-3.5,38.125,214253.2,2017
-3.5,38.75,6273.669,2017
-3.5,39.375,239096.17,2017
-3.5,40.0,303497.94,2017
-3.0,36.25,9411.652,2017
-3.0,36.875,44029.1,2017
-3.0,37.5,161941.92,2017
-3.0,38.125,38527.035,2017
-3.0,38.75,953.40076,2017
-3.0,39.375,21628.062,2017
-3.0,40.0,89240.625,2017
-3.0,40.625,372.74045,2017
-2.5,35.625,10636.359,2017
-2.5,36.25,70137.72,2017
-2.5,36.875,90783.53,2017
-2.5,37.5,258077.44,2017
-2.5,38.125,55910.957,2017
-2.5,38.75,349.9159,2017
-2.5,39.375,4907.506,2017
-2.5,40.0,105745.914,2017
-2.5,40.625,97630.12,2017
-2.5,41.25,163.19812,2017
-2.0,34.375,48.77359,2017
-2.0,35.0,37199.965,2017
-2.0,35.625,78472.664,2017
-2.0,36.25,109228.64,2017
-2.0,36.875,623809.0,2017
-2.0,37.5,455401.34,2017
-2.0,38.125,124288.89,2017
-2.0,38.75,10521.784,2017
-2.0,39.375,9404.718,2017
-2.0,40.0,123555.47,2017
-2.0,40.625,10048.896,2017
-2.0,41.25,6567.6,2017
-1.5,33.75,96707.76,2017
-1.5,34.375,629362.25,2017
-1.5,35.0,154324.66,2017
-1.5,35.625,187621.17,2017
-1.5,36.25,3882037.5,2017
-1.5,36.875,3223113.5,2017
-1.5,37.5,592959.7,2017
-1.5,38.125,114992.875,2017
-1.5,38.75,2417.7903,2017
-1.5,39.375,37349.227,2017
-1.5,40.0,48393.04,2017
-1.5,40.625,69319.11,2017
-1.5,41.25,1198.3005,2017
-1.0,33.75,376943.53,2017
-1.0,34.375,2707215.8,2017
-1.0,35.0,1504538.6,2017
-1.0,35.625,438345.0,2017
-1.0,36.25,849655.3,2017
-1.0,36.875,1799967.2,2017
-1.0,37.5,386009.28,2017
-1.0,38.125,116927.305,2017
-1.0,38.75,8935.699,2017
-1.0,39.375,37156.016,2017
-1.0,40.0,8667.446,2017
-1.0,40.625,16847.785,2017
-0.5,33.75,426634.06,2017
-0.5,34.375,1558948.6,2017
-0.5,35.0,1193811.5,2017
-0.5,35.625,1414400.9,2017
-0.5,36.25,547372.6,2017
-0.5,36.875,807128.4,2017
-0.5,37.5,937977.75,2017
-0.5,38.125,73719.42,2017
-0.5,38.75,56947.812,2017
-0.5,39.375,297756.1,2017
-0.5,40.0,83023.34,2017
-0.5,40.625,6631.834,2017
0.0,33.75,1048070.1,2017
0.0,34.375,2789285.5,2017
0.0,35.0,1169271.4,2017
0.0,35.625,392602.03,2017
0.0,36.25,359315.5,2017
0.0,36.875,217700.81,2017
0.0,37.5,1257330.5,2017
0.0,38.125,34496.17,2017
0.0,38.75,109745.92,2017
0.0,39.375,59496.637,2017
0.0,40.0,315660.5,2017
0.0,40.625,34902.453,2017
0.5,33.75,294546.3,2017
0.5,34.375,2130543.0,2017
0.5,35.0,1381347.1,2017
0.5,35.625,220846.1,2017
0.5,36.25,104134.99,2017
0.5,36.875,64841.47,2017
0.5,37.5,31304.764,2017
0.5,38.125,24570.475,2017
0.5,38.75,81148.79,2017
0.5,39.375,67305.52,2017
0.5,40.0,28116.395,2017
0.5,40.625,31564.11,2017
1.0,34.375,421754.94,2017
1.0,35.0,771292.3,2017
1.0,35.625,121265.49,2017
1.0,36.25,108673.53,2017
1.0,36.875,29106.594,2017
1.0,37.5,12588.933,2017
1.0,38.125,14141.721,2017
1.0,38.75,12641.369,2017
1.0,39.375,109032.41,2017
1.0,40.0,34236.66,2017
1.0,40.625,18795.129,2017
1.5,34.375,18731.557,2017
1.5,35.0,181811.25,2017
1.5,35.625,49870.57,2017
1.5,36.25,59369.516,2017
1.5,36.875,32138.242,2017
1.5,37.5,19054.496,2017
1.5,38.125,1078.546,2017
1.5,38.75,13342.71,2017
1.5,39.375,95635.984,2017
1.5,40.0,258531.45,2017
1.5,40.625,25299.947,2017
2.0,34.375,43912.734,2017
2.0,35.0,128423.23,2017
2.0,35.625,63204.812,2017
2.0,36.25,33422.215,2017
2.0,36.875,18617.492,2017
2.0,37.5,58504.562,2017
2.0,38.125,4683.597,2017
2.0,38.75,43484.516,2017
2.0,39.375,123958.484,2017
2.0,40.0,118025.09,2017
2.0,40.625,59554.5,2017
2.5,34.375,27771.184,2017
2.5,35.0,86642.32,2017
2.5,35.625,58422.664,2017
2.5,36.25,19910.8,2017
2.5,36.875,5372.5386,2017
2.5,37.5,9087.294,2017
2.5,38.125,3293.811,2017
2.5,38.75,38692.598,2017
2.5,39.375,80221.7,2017
2.5,40.0,93084.77,2017
2.5,40.625,338711.84,2017
3.0,34.375,59183.51,2017
3.0,35.0,108738.31,2017
3.0,35.625,67499.74,2017
3.0,36.25,7474.04,2017
3.0,36.875,16997.492,2017
3.0,37.5,5319.243,2017
3.0,38.125,8970.322,2017
3.0,38.75,84024.82,2017
3.0,39.375,216216.4,2017
3.0,40.0,208233.03,2017
3.0,40.625,270599.94,2017
3.0,41.25,67405.54,2017
3.5,33.75,3691.7405,2017
3.5,34.375,139277.81,2017
3.5,35.0,34873.312,2017
3.5,35.625,26483.777,2017
3.5,36.25,6464.934,2017
3.5,36.875,14226.215,2017
3.5,37.5,7080.0767,2017
3.5,38.125,19366.596,2017
3.5,38.75,47894.023,2017
3.5,39.375,86742.586,2017
3.5,40.0,249420.81,2017
3.5,40.625,237329.08,2017
3.5,41.25,353419.94,2017
4.0,33.75,44966.086,2017
4.0,34.375,48304.266,2017
4.0,35.0,34924.0,2017
4.0,35.625,48575.0,2017
4.0,36.25,8067.038,2017
4.0,36.875,5960.967,2017
4.0,37.5,84.952545,2017
4.0,40.0,58426.766,2017
4.0,40.625,47367.184,2017
4.5,33.75,1621.7902,2017
4.5,34.375,24021.95,2017
4.5,35.0,32228.148,2017
4.5,35.625,17828.596,2017
5.0,34.375,1120.8265,2017
5.0,35.0,9734.272,2017
